iter	MultiRMSE
0	0.2899486486
1	0.2885507885
2	0.2867787866
3	0.2854441878
4	0.284494798
5	0.2829208383
6	0.2816803242
7	0.2799067897
8	0.2788173779
9	0.2773130169
10	0.2759257239
11	0.2746895762
12	0.2738164246
13	0.2723433834
14	0.2714633377
15	0.2702510838
16	0.2693908178
17	0.2680652841
18	0.2671328851
19	0.2655717261
20	0.2645265949
21	0.2629747654
22	0.2615546577
23	0.2603426638
24	0.2587079168
25	0.257184092
26	0.2558890243
27	0.2549260737
28	0.2535967821
29	0.25211571
30	0.250556842
31	0.2492819463
32	0.2484434364
33	0.2474697974
34	0.24671817
35	0.2454890486
36	0.2442635962
37	0.243563709
38	0.2422686387
39	0.2413956864
40	0.2403579563
41	0.2394693165
42	0.2382826149
43	0.2370244555
44	0.2363212839
45	0.235051497
46	0.2342480191
47	0.2330744658
48	0.2319354444
49	0.2306223878
50	0.2296501285
51	0.2282237436
52	0.2271146562
53	0.2258273694
54	0.2248948057
55	0.2236006379
56	0.2228977609
57	0.2215934781
58	0.2205043847
59	0.2196117482
60	0.2184888021
61	0.2177086874
62	0.2166641645
63	0.2158009228
64	0.2148192032
65	0.2140930369
66	0.2130619736
67	0.2123039813
68	0.2112335475
69	0.210024736
70	0.2089691195
71	0.2079325734
72	0.2069340378
73	0.2060336392
74	0.2051772434
75	0.2042646839
76	0.2032497165
77	0.2021539217
78	0.2010392327
79	0.1998720594
80	0.1987648288
81	0.1982076985
82	0.1972825748
83	0.1960990637
84	0.1953356785
85	0.1942621658
86	0.1932831662
87	0.1923385677
88	0.1913427243
89	0.1901741631
90	0.1891832519
91	0.1882081831
92	0.1877572269
93	0.1868582101
94	0.1859075425
95	0.1849949834
96	0.1844243813
97	0.1835683355
98	0.1824832705
99	0.1816072087
100	0.1806111927
101	0.1799043302
102	0.1790464029
103	0.1780566217
104	0.1768347012
105	0.1756980547
106	0.1749867334
107	0.1744909996
108	0.1738685669
109	0.173105615
110	0.1721997022
111	0.1710281481
112	0.1702982964
113	0.1694848848
114	0.1685482747
115	0.1679779105
116	0.167310698
117	0.1668145477
118	0.1663040391
119	0.1655858363
120	0.1648744284
121	0.1638495559
122	0.1629721381
123	0.1621303173
124	0.161568272
125	0.1605701806
126	0.1598980522
127	0.1590439619
128	0.1584701105
129	0.1579567014
130	0.1572824043
131	0.1566219571
132	0.1557937254
133	0.1549920776
134	0.1545550904
135	0.1535700612
136	0.1527851578
137	0.1519650095
138	0.1510983833
139	0.1504106113
140	0.1497076258
141	0.1488446986
142	0.1479965445
143	0.1474258281
144	0.1465831632
145	0.1458078365
146	0.1452271459
147	0.144692695
148	0.1440396086
149	0.1431343624
150	0.1423421823
151	0.1418135438
152	0.1413524475
153	0.1406426358
154	0.1402170952
155	0.1393665394
156	0.1384576653
157	0.1378967782
158	0.1372572036
159	0.1365993908
160	0.1361307533
161	0.1354380212
162	0.1347803234
163	0.1341058715
164	0.1334769203
165	0.1328627369
166	0.1323046858
167	0.1318987556
168	0.1311815881
169	0.1305707288
170	0.1296890543
171	0.1288435072
172	0.1280193173
173	0.1275628197
174	0.1269507008
175	0.1261628517
176	0.1255751924
177	0.1250225072
178	0.1245878489
179	0.1240506777
180	0.1235886207
181	0.1229088819
182	0.1223220335
183	0.1219216304
184	0.1212985824
185	0.1206582661
186	0.1201849911
187	0.119521844
188	0.118965693
189	0.1183202226
190	0.1175751251
191	0.116957977
192	0.1162893749
193	0.1158091725
194	0.1152113362
195	0.1145718016
196	0.1138741314
197	0.1131226498
198	0.1126556928
199	0.1120843892
200	0.1116133347
201	0.1110319369
202	0.1105030028
203	0.1097529452
204	0.109297485
205	0.1088412851
206	0.1082215343
207	0.1075853519
208	0.1070771479
209	0.1065775797
210	0.1060716215
211	0.1055085774
212	0.1048503346
213	0.1043075916
214	0.1037415891
